FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
01/02/2018,WICKES,77.98
31/01/2018,TVLICENSING.CO.UK,147.00
01/02/2018,PP CROSBYASSOC,480.00
01/02/2018,EYRE & ELLISTON LTD,27.60
01/02/2018,LINKEDIN-389 4014583,37.44
26/01/2018,,-291.98
31/01/2018,WWW.NISBETS.COM,66.20
16/01/2018,,-282.83
05/06/2017,,-5.29
01/02/2018,,5.29
31/01/2018,FACEBK B2ARRFW9R2,215.49
31/01/2018,FACEBK YWPGHKEWP2,32.02
31/01/2018,FACEBK ZWPGHKEWP2,1.73
31/01/2018,GO OUTDOORS,93.60
31/01/2018,HOMEBASE LTD 091,31.83
31/01/2018,FACEBK  43PFYE2PW2,7.53
30/01/2018,PRIMARK 440,12.00
31/01/2018,ENVIROMENT AGENCY,1950.00
31/01/2018,HOLIDAY INN EXP,341.76
31/01/2018,HOLIDAY INN EXP,341.76
31/01/2018,POSSESSIONCLAIM.GO,325.00
31/01/2018,POSSESSIONCLAIM.GO,325.00
31/01/2018,POSSESSIONCLAIM.GO,325.00
31/01/2018,AMAZON UK MARKETPLACE,19.49
30/01/2018,,-244.48
